序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,TF_TCH,蒸汽容积时间常数(秒),DOUBLE,4
5,TF_FVHP,超高压缸功率比例,DOUBLE,4
6,TF_TRH1,第一再热器时间常数,DOUBLE,4
7,TF_FHP,高压缸功率比例,DOUBLE,4
8,TF_TRH2,第二再热器时间常数,DOUBLE,4
9,TF_FIP_1,中压缸功率比例或比例一半,DOUBLE,4
10,TF_FIP_2,中压缸功率比例或比例一半,DOUBLE,4
11,TF_TCO,交叉管时间常数,DOUBLE,4
12,TF_FLP_1,低压缸功率比例或比例一半,DOUBLE,4
13,TF_FLP_2,低压缸功率比例或比例一半,DOUBLE,4
14,KeyName,数据库主键,STRING,16
15,BusPtr,发电机母线索引,INTEGER,4
16,AppendTag,新增记录标记,INTEGER,1
