序号,名称,描述,类型,长度
0,CardKey,卡类型,STRING,8
1,ACBus_Name,发电机名称,STRING,10
2,ACBus_kV,发电机基准电压(kV),DOUBLE,4
3,Gen_ID,发电机识别码,INTEGER,1
4,PssSA_T1,"T1,滤波器时间常数",DOUBLE,4
5,PssSA_T2,"T2,滤波器时间常数",DOUBLE,4
6,PssSA_T3,"T3,滤波器时间常数",DOUBLE,4
7,PssSA_T4,"T4,滤波器时间常数",DOUBLE,4
8,PssSA_T5,"T5,滤波器时间常数",DOUBLE,4
9,PssSA_T6,"T6,滤波器时间常数",DOUBLE,4
10,PssSA_K1,"K1,速度信号放大倍数",DOUBLE,4
11,PssSA_K2,"K2,加速度信号放大倍数",DOUBLE,4
12,PssSA_K,K*,DOUBLE,4
13,PssSA_A,"A,放大倍数",DOUBLE,4
14,PssSA_P,"P,相位",DOUBLE,4
15,PssSA_LimitMax,"LIMIT-MAX,输出的最大限幅",DOUBLE,4
16,PssSA_LimitMin,"LIMIT-MIN,输出的最大限幅",DOUBLE,4
17,PssSA_KMVA,K的基准容量,DOUBLE,4
18,KeyName,数据库主键,STRING,16
19,BusPtr,发电机母线索引,INTEGER,4
20,AppendTag,新增记录标记,INTEGER,1
