序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,Name,名称,STRING,64
4,Description,描述,STRING,64
5,WindNum,绕组数,INTEGER,1
6,VoltagelevelH,高电压等级,STRING,16
7,VoltagelevelM,中电压等级,STRING,16
8,VoltagelevelL,低电压等级,STRING,16
9,VoltagelevelT,中性点电压等级,STRING,16
10,TransformerWindingH,高压绕组,STRING,64
11,TransformerWindingM,中压绕组,STRING,64
12,TransformerWindingL,低压绕组,STRING,64
13,ConnectivityNodeH,高压节点,STRING,64
14,ConnectivityNodeM,中压节点,STRING,64
15,ConnectivityNodeL,低压节点,STRING,64
16,ConnectivityNodeT,中性点,STRING,64
17,ri_Rerr,故障率(次/年),DOUBLE,4
18,ri_Trep,修复时间(小时/次),DOUBLE,4
19,ri_Rchk,计划检修率(次/年),DOUBLE,4
20,ri_Tchk,检修时间(小时/次),DOUBLE,4
21,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
22,ei_Invest,投资费用(万元),DOUBLE,4
23,ro_RContribution,停运率贡献(%),DOUBLE,4
24,ro_UContribution,停运时间贡献(%),DOUBLE,4
25,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
26,TopoBusH,高压拓扑母线,INTEGER,4
27,TopoBusM,中压拓扑母线,INTEGER,4
28,TopoBusL,低压拓扑母线,INTEGER,4
29,TopoBusT,中性点母线,INTEGER,4
30,VoltHPtr,高电压等级索引,INTEGER,2
31,VoltMPtr,中电压等级索引,INTEGER,2
32,VoltLPtr,低电压等级索引,INTEGER,2
33,VoltTPtr,中性点电压等级索引,INTEGER,2
34,WindHPtr,高压绕组索引,INTEGER,2
35,WindMPtr,中压绕组索引,INTEGER,2
36,WindLPtr,低压绕组索引,INTEGER,2
37,NodeHPtr,高压节点索引,INTEGER,4
38,NodeMPtr,中压节点索引,INTEGER,4
39,NodeLPtr,低压节点索引,INTEGER,4
40,NodeTPtr,中性点索引,INTEGER,4
41,State,综合状态(着色),INTEGER,1
42,Open,拓扑状态,INTEGER,1
