序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNode,节点,STRING,64
7,V,电压(千伏),DOUBLE,4
8,VLimitL,电压下限(千伏),DOUBLE,4
9,VLimitH,电压上限(千伏),DOUBLE,4
10,ReferenceV,给定电压(千伏),DOUBLE,4
11,ri_Rerr,故障率(次/年),DOUBLE,4
12,ri_Trep,修复时间(小时/次),DOUBLE,4
13,ri_Rchk,计划检修率(次/年),DOUBLE,4
14,ri_Tchk,检修时间(小时/次),DOUBLE,4
15,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
16,ei_Invest,投资费用(万元),DOUBLE,4
17,ro_RContribution,停运率贡献(%),DOUBLE,4
18,ro_UContribution,停运时间贡献(%),DOUBLE,4
19,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
20,NodePtr,节点索引,INTEGER,4
21,TopoBus,拓扑节点,INTEGER,4
22,Island,岛,INTEGER,2
23,Open,拓扑状态,INTEGER,1
