序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNode,节点,STRING,64
7,V,电压(kV),DOUBLE,4
8,D,功角(度),DOUBLE,4
9,F,频率(Hz),DOUBLE,4
10,VLimitL,电压下限(kV),DOUBLE,4
11,VLimitH,电压上限(kV),DOUBLE,4
12,LoadP,母线负荷有功(MW),DOUBLE,4
13,LoadQ,母线负荷无功(MVar),DOUBLE,4
14,GenP,母线发电有功(MW),DOUBLE,4
15,GenQ,母线发电无功(MVar),DOUBLE,4
16,ShuntQ,母线补偿无功(MVar),DOUBLE,4
17,ReferenceV,给定电压(kV),DOUBLE,4
18,ri_Rerr,故障率(次/年),DOUBLE,4
19,ri_Trep,修复时间(小时/次),DOUBLE,4
20,ri_Rchk,计划检修率(次/年),DOUBLE,4
21,ri_Tchk,检修时间(小时/次),DOUBLE,4
22,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
23,ri_load_rerr,配出负荷故障率(次/年),DOUBLE,4
24,ri_load_trep,配出负荷修复时间(小时/次),DOUBLE,4
25,ri_load_rchk,配出负荷计划检修率(次/年),DOUBLE,4
26,ri_load_tchk,配出负荷检修时间(小时/次),DOUBLE,4
27,ei_Invest,投资费用(万元),DOUBLE,4
28,vd_RScc1,单相接地频率(次/年),DOUBLE,4
29,vd_RScc2,相间短路频率(次/年),DOUBLE,4
30,vd_RScc3,三相短路频率(次/年),DOUBLE,4
31,vd_RScc4,两相接地频率(次/年),DOUBLE,4
32,ScIa,A相短路电流(A),DOUBLE,4
33,ScIb,B相短路电流(A),DOUBLE,4
34,ScIc,C相短路电流(A),DOUBLE,4
35,ScVa,A相短路电压(kV),DOUBLE,4
36,ScVb,B相短路电压(kV),DOUBLE,4
37,ScVc,C相短路电压(kV),DOUBLE,4
38,ScV1,正序短路电压(kV),DOUBLE,4
39,ScV2,负序短路电压(kV),DOUBLE,4
40,ScV0,零序短路电压(kV),DOUBLE,4
41,ro_rContribution,停运率贡献(%),DOUBLE,4
42,ro_uContribution,停运时间贡献(%),DOUBLE,4
43,ro_ensContribution,停电电量贡献(%),DOUBLE,4
44,ErrP,母线有功总加(MW),DOUBLE,4
45,ErrQ,母线无功总加(MVar),DOUBLE,4
46,Bypass,旁路母线,INTEGER,1
47,NodePtr,节点索引,INTEGER,4
48,TopoBus,拓扑节点,INTEGER,4
49,Island,岛,INTEGER,2
50,Psedo,虚拟设备,INTEGER,1
51,ParentType,母线归属设备类型,INTEGER,1
52,State,运行状态,INTEGER,1
53,InRing,环网标记,INTEGER,1
54,Radiate,辐射网号,INTEGER,2
55,Open,拓扑状态,INTEGER,1
