序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNodeI,起节点,STRING,64
7,ConnectivityNodeJ,终节点,STRING,64
8,R,等效电阻(标幺),DOUBLE,4
9,ri_Rerr,故障率(次/台.年),DOUBLE,4
10,ri_Trep,修复时间(小时/次),DOUBLE,4
11,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
12,ri_Tchk,检修时间(小时/次),DOUBLE,4
13,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
14,ei_Invest,投资费用(万元),DOUBLE,4
15,Pi,I侧有功(兆瓦),DOUBLE,4
16,Pj,J侧有功(兆瓦),DOUBLE,4
17,A,电流(安培),DOUBLE,4
18,LossP,损耗有功(兆瓦),DOUBLE,4
19,ro_RContribution,停运率贡献(%),DOUBLE,4
20,ro_UContribution,停运时间贡献(%),DOUBLE,4
21,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
22,NodeIPtr,起节点索引,INTEGER,4
23,NodeJPtr,终节点索引,INTEGER,4
24,TopoBusI,起拓扑节点,INTEGER,4
25,TopoBusJ,终拓扑节点,INTEGER,4
26,Island,岛,INTEGER,2
27,EdgeI,I侧边设备索引,INTEGER,2
28,EdgeJ,J侧边设备索引,INTEGER,2
29,Proc,中间信息,INTEGER,1
30,Open,拓扑状态,INTEGER,1
31,Outage,设备状态,INTEGER,1
