序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,Substation,厂站,STRING,64
2,Name,名称,STRING,64
3,Description,描述,STRING,64
4,iVoltageLevel,I侧电压等级,STRING,16
5,zVoltageLevel,J侧电压等级,STRING,16
6,ElectronicTransformer,所属电力电子变压器,STRING,64
7,Isolator,隔离器,INTEGER,1
8,ConnectivityNodeI,I侧节点,STRING,64
9,ConnectivityNodeJ,J侧节点,STRING,64
10,RatedPower,额定容量(兆瓦),DOUBLE,4
11,ControlModeI,I侧控制模式,INTEGER,1
12,ControlValueI,"I侧控制值(电压标幺,功率兆瓦)",DOUBLE,4
13,ControlModeJ,J侧控制模式,INTEGER,1
14,ControlValueJ,"J侧控制值(电压标幺,功率兆瓦)",DOUBLE,4
15,LossParamA,损耗多项式参数(a),DOUBLE,4
16,LossParamB,损耗多项式参数(b),DOUBLE,4
17,LossParamC,损耗多项式参数(c),DOUBLE,4
18,ri_Rerr,故障率(次/台.年),DOUBLE,4
19,ri_Trep,修复时间(小时/次),DOUBLE,4
20,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
21,ri_Tchk,检修时间(小时/次),DOUBLE,4
22,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
23,ri_Direction,供电方向,INTEGER,1
24,ei_Invest,投资费用(万元),DOUBLE,4
25,MCRTypeI,I侧主接线可靠性设备类型,INTEGER,1
26,MCRTypeJ,J侧主接线可靠性设备类型,INTEGER,1
27,MCRPower,主接线可靠性源/荷功率,DOUBLE,4
28,Vi,I侧电压(千伏),DOUBLE,4
29,Pi,I侧有功(兆瓦),DOUBLE,4
30,Ai,I侧电流(安培),DOUBLE,4
31,Vj,J侧电压(千伏),DOUBLE,4
32,Pj,J侧有功(兆瓦),DOUBLE,4
33,Aj,J侧电流(安培),DOUBLE,4
34,Loss,损耗(兆瓦),DOUBLE,4
35,ro_RContribution,停运率贡献(%),DOUBLE,4
36,ro_UContribution,停运时间贡献(%),DOUBLE,4
37,ro_EnsContribution,停电电量贡献(%),DOUBLE,4
38,CalculatePI,I侧功率计算值(兆瓦),DOUBLE,4
39,CalculatePJ,J侧功率计算值(兆瓦),DOUBLE,4
40,VoltITR,I侧电压等级索引,INTEGER,2
41,VoltJTR,J侧电压等级索引,INTEGER,2
42,NodeIPTR,I侧节点索引,INTEGER,4
43,NodeJPTR,J侧节点索引,INTEGER,4
44,TopoBusI,I侧拓扑节点,INTEGER,4
45,TopoBusJ,J侧拓扑节点,INTEGER,4
46,IslandI,I侧岛,INTEGER,2
47,IslandJ,J侧岛,INTEGER,2
48,EdgeI,I侧边设备索引,INTEGER,2
49,EdgeJ,J侧边设备索引,INTEGER,2
50,PStateI,I侧功率状态,INTEGER,1
51,PStateJ,J侧功率状态,INTEGER,1
52,Type,类型,INTEGER,1
53,Open,拓扑状态,INTEGER,1
54,Outage,设备状态,INTEGER,1
