序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,ConnectivityNode,节点,STRING,64
7,Cap,容量(容+感-),DOUBLE,4
8,X0,零序电抗(PU),DOUBLE,4
9,ri_Rerr,故障率(次/年),DOUBLE,4
10,ri_Trep,修复时间(小时/次),DOUBLE,4
11,ri_Rchk,计划检修率(次/年),DOUBLE,4
12,ri_Tchk,检修时间(小时/次),DOUBLE,4
13,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
14,ei_Invest,投资费用(万元),DOUBLE,4
15,Q,无功(MVar),DOUBLE,4
16,A,电流(A),DOUBLE,4
17,NodePtr,节点索引,INTEGER,4
18,TopoBus,拓扑节点,INTEGER,4
19,Island,岛,INTEGER,2
20,Distribution,虚拟设备,INTEGER,1
21,State,综合状态(着色),INTEGER,1
22,Outage,设备状态,INTEGER,1
