序号,名称,描述,类型,长度
0,ResourceID,资源Id,STRING,64
1,ObjectID,ObjectId,STRING,64
2,Substation,厂站,STRING,64
3,VoltageLevel,电压等级,STRING,16
4,Name,名称,STRING,64
5,Description,描述,STRING,64
6,Status,运行状态,INTEGER,1
7,ConnectivityNodeI,起节点,STRING,64
8,ConnectivityNodeJ,终节点,STRING,64
9,Category,隔离开关类型,INTEGER,1
10,ri_Rerr,故障率(次/台.年),DOUBLE,4
11,ri_Trep,修复时间(小时/次),DOUBLE,4
12,ri_Rchk,计划检修率(次/台.年),DOUBLE,4
13,ri_Tchk,检修时间(小时/次),DOUBLE,4
14,ri_Tfloc,故障定位隔离时间(小时),DOUBLE,4
15,ri_RSwitch,切换成功率,DOUBLE,4
16,ri_TSwitch,切换时间(小时/次),DOUBLE,4
17,ei_Invest,投资费用(万元),DOUBLE,4
18,MCRChkBus,设备停母线检修,INTEGER,1
19,NodeIPtr,起节点索引,INTEGER,4
20,NodeJPtr,终节点索引,INTEGER,4
21,Island,岛,INTEGER,2
22,EdgeI,起边设备索引,INTEGER,4
23,EdgeJ,终边设备索引,INTEGER,4
24,JointDeviceType,控制设备类型,INTEGER,1
25,JointDeviceIndex,控制设备索引,INTEGER,4
26,InnerType,内部分类,INTEGER,1
27,Distribution,配网设备,INTEGER,1
28,ConstOpen,常开状态,INTEGER,1
29,Outage,设备状态,INTEGER,1
